2025-09-21T15:50:17,924 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Changes to perform:
2025-09-21T15:50:17,924 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   Region: root
2025-09-21T15:50:17,925 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |     Bundles to install:
2025-09-21T15:50:17,925 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.bouncycastle/bcpkix-jdk15on/1.70
2025-09-21T15:50:17,926 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.bouncycastle/bcprov-jdk15on/1.70
2025-09-21T15:50:17,926 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.bouncycastle/bcutil-jdk15on/1.70
2025-09-21T15:50:17,926 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       file:/tmp/verisium_debug_temp_dir_3832751/karaf/system/com/cadence/tango/plugins/installer/1.0.0/framework-installer-15.22-SNAPSHOT.jar
2025-09-21T15:50:17,927 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       file:/tmp/verisium_debug_temp_dir_3832751/karaf/system/com/cadence/tango/plugins/splash/1.0.0/osgi-splash-1.0-SNAPSHOT.jar
2025-09-21T15:50:17,927 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:com.google.guava/guava/28.2-jre
2025-09-21T15:50:17,928 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:com.google.guava/failureaccess/1.0.1
2025-09-21T15:50:17,928 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:net.java.dev.jna/jna/4.4.0
2025-09-21T15:50:17,929 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2025-09-21T15:50:17,929 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2025-09-21T15:50:17,929 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2025-09-21T15:50:17,930 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2025-09-21T15:50:17,930 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.felix/org.apache.felix.scr/2.2.4
2025-09-21T15:50:17,931 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.4.3
2025-09-21T15:50:17,931 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.4.3
2025-09-21T15:50:17,931 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.4.3
